epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
84,0.5096,0.5174,0.5085,0.7538896746817539,0.7526,0.7419719903805347,0.741,0.750039785687762,0.7492,MLP520-Tanh-Adagrad-0.01-0
85,0.5091,0.5169,0.5085,0.752899575671853,0.7523,0.742396378554251,0.742,0.7503227061340689,0.75,MLP520-Tanh-Adagrad-0.01-0
86,0.5101,0.5169,0.5082,0.7524752475247525,0.7516,0.7429622294525392,0.7424,0.7500221031598677,0.7496,MLP520-Tanh-Adagrad-0.01-0
87,0.5094,0.5169,0.5082,0.7523338048090523,0.7515,0.7426793040033951,0.7421,0.7496861351298781,0.7492,MLP520-Tanh-Adagrad-0.01-0
88,0.5099,0.5171,0.5083,0.753041018387553,0.752,0.742537841278823,0.7417,0.7498983254646084,0.7492,MLP520-Tanh-Adagrad-0.01-0
89,0.5094,0.5187,0.5095,0.7513437057991513,0.7493,0.7395671240628094,0.7379,0.7504995314130108,0.7492,MLP520-Tanh-Adagrad-0.01-0
90,0.5092,0.5175,0.5086,0.7537482319660538,0.7523,0.7416890649313905,0.7406,0.7498629604088201,0.749,MLP520-Tanh-Adagrad-0.01-0
91,0.5096,0.5168,0.5083,0.7526166902404526,0.752,0.7415476022068185,0.7411,0.7500574682156561,0.7498,MLP520-Tanh-Adagrad-0.01-0
92,0.5092,0.5168,0.5084,0.752050919377652,0.7515,0.7416890649313905,0.7413,0.7502696585503864,0.75,MLP520-Tanh-Adagrad-0.01-0
93,0.5104,0.5169,0.5082,0.7527581329561528,0.7518,0.742396378554251,0.7417,0.7503403886619631,0.7498,MLP520-Tanh-Adagrad-0.01-0
94,0.5098,0.5173,0.509,0.7524752475247525,0.7522,0.7416890649313905,0.7415,0.7493501670998886,0.7492,MLP520-Tanh-Adagrad-0.01-0
95,0.5097,0.5167,0.5081,0.752050919377652,0.7513,0.7421134531051068,0.7416,0.7501281983272329,0.7497,MLP520-Tanh-Adagrad-0.01-0
96,0.5092,0.5168,0.5081,0.7521923620933522,0.7514,0.7416890649313905,0.7412,0.7500221031598677,0.7496,MLP520-Tanh-Adagrad-0.01-0
97,0.5093,0.5169,0.5082,0.753041018387553,0.752,0.7416890649313905,0.7409,0.7501989284388096,0.7496,MLP520-Tanh-Adagrad-0.01-0
98,0.51,0.5166,0.5081,0.7524752475247525,0.7517,0.742537841278823,0.742,0.7502696585503864,0.7498,MLP520-Tanh-Adagrad-0.01-0
99,0.5089,0.5166,0.5081,0.7521923620933522,0.7515,0.7428207667279672,0.7423,0.7502873410782805,0.7499,MLP520-Tanh-Adagrad-0.01-0
100,0.5095,0.5183,0.5103,0.7506364922206507,0.7505,0.7388598104399491,0.7388,0.7491379767651584,0.7491,MLP520-Tanh-Adagrad-0.01-0
